OID,Name,Method
RULE_ADLB_ANL63FL_GSKCORE-RXDRVR1,ADLB_ANL63FL,Flags worst case maximum grade post-baseline
RULE_ADLB_ANL81FL_GSKCORE-RXDRVR1,ADLB_ANL81FL,"Flags records with any AVAL or CHG value outside normal range or PCI values
                        "
RULE_ADLB_ATOXGR_GSKCOREDRVR1,ADLB_ATOXGR,"Toxicity grade of AVAL or AVALC for analysis; For Rx :may be based on SDTM
                            --TOXGR or an imputed or assigned value per SAP specification
                        "
RULE_ADAE_AAGE9U_GSKCOREDRVR1,ADAE_AAGE9U,"Set equal to ""YEARS"""
RULE_ADAE_AESITE_GSKCOREDRVR1,ADAE_AESITE,"SUPPAE.QVAL where SUPPAE.QNAM = ""AESITE"""
RULE_ADAE_ASITE_GSKCOREDRVR1,ADAE_ASITE,"IF AESITE is not missing then directly copy to ASITE.ELSEassign
                            ""NON-ADMINISTRATIVE SITE""
                        "
RULE_ADAE_AEPCIND_GSKCOREDRVR1,ADAE_AEPCIND,"SUPPAE.QVAL where SUPPAE.QNAM = ""AEPCIND"""
RULE_ADAE_AERDGCD_GSKCOREDRVR1,ADAE_AERDGCD,"SUPPAE.QVAL where SUPPAE.QNAM = ""AERDGCD"""
RULE_ADAE_AEPST30M_GSKCOREDRVR1,ADAE_AEPST30M,"SUPPAE.QVAL where SUPPAE.QNAM = ""AEPST30M"""
RULE_ADAE_AEPIMD_GSKCOREDRVR1,ADAE_AEPIMD,"SUPPAE.QVAL where QNAM = ""AEPIMD"""
RULE_ADAE_AESI_GSKCOREDRVR1,ADAE_AESI,"SUPPAE.QVAL where QNAM = ""AESI"""
RULE_ADAE_AEMEDTYP_GSKCOREDRVR1,ADAE_AEMEDTYP,"SUPPAE.QVAL where SUPPAE.QNAM = ""AEMEDTYP"""
